"","gene","cluster"
"78","Solyc02g069720.3",1
"79","Solyc02g070580.1",1
"80","Solyc02g071740.3",1
"81","Solyc02g072150.3",1
"82","Solyc02g072470.4",1
"83","Solyc02g077590.1",1
"84","Solyc02g077780.3",1
"85","Solyc02g078160.3",1
"86","Solyc02g078170.3",1
"87","Solyc02g079390.4",1
"88","Solyc02g081180.2",1
"89","Solyc02g081580.3",1
"90","Solyc02g082450.3",1
"91","Solyc02g082900.3",1
"92","Solyc02g084240.3",1
"93","Solyc02g085920.3",1
"94","Solyc02g086360.3",1
"95","Solyc02g087430.4",1
"96","Solyc02g087620.3",1
"97","Solyc02g089160.3",1
"98","Solyc02g089990.1",1
"99","Solyc02g090120.1",1
"100","Solyc02g090980.1",1
"101","Solyc02g091670.1",1
"102","Solyc02g092460.3",1
"103","Solyc02g092930.1",1
"104","Solyc02g092970.3",1
"105","Solyc03g005330.1",1
"106","Solyc03g005430.4",1
"107","Solyc03g005880.3",1
"108","Solyc03g006410.3",1
"109","Solyc03g006840.4",1
"110","Solyc03g007810.3",1
"111","Solyc03g019820.3",1
"112","Solyc03g020030.3",1
"113","Solyc03g025720.3",1
"114","Solyc03g026015.1",1
"115","Solyc03g026020.3",1
"116","Solyc03g031530.4",1
"117","Solyc03g032020.4",1
"118","Solyc03g033950.4",1
"119","Solyc03g044960.2",1
"120","Solyc03g063370.3",1
"121","Solyc03g063550.1",1
"122","Solyc03g080080.4",1
"123","Solyc03g081210.1",1
"124","Solyc03g083000.3",1
"125","Solyc03g098480.1",1
"126","Solyc03g111310.3",1
"127","Solyc03g111640.4",1
"128","Solyc03g113100.3",1
"129","Solyc03g113960.4",1
"130","Solyc03g115700.3",1
"131","Solyc03g116510.1",1
"132","Solyc03g117680.4",1
"133","Solyc03g118420.4",1
"134","Solyc03g119520.4",1
"135","Solyc03g121460.1",1
"136","Solyc04g007250.1",1
"137","Solyc04g009470.4",1
"138","Solyc04g009960.3",1
"139","Solyc04g011800.1",1
"140","Solyc04g011810.1",1
"141","Solyc04g011820.1",1
"142","Solyc04g011860.1",1
"143","Solyc04g011980.1",1
"144","Solyc04g050040.3",1
"145","Solyc04g054310.3",1
"146","Solyc04g054890.3",1
"147","Solyc04g063350.3",1
"148","Solyc04g071160.3",1
"149","Solyc04g071770.3",1
"150","Solyc04g072240.3",1
"151","Solyc04g074870.3",1
"152","Solyc04g076220.3",1
"153","Solyc04g076940.3",1
"154","Solyc04g077030.3",1
"155","Solyc04g077120.4",1
"156","Solyc04g077850.3",1
"157","Solyc04g078320.4",1
"158","Solyc04g078390.3",1
"159","Solyc04g078460.3",1
"160","Solyc04g079240.3",1
"161","Solyc04g080460.3",1
"162","Solyc04g081440.3",1
"163","Solyc04g081460.2",1
"164","Solyc04g082160.4",1
"165","Solyc04g082450.3",1
"166","Solyc04g082690.1",1
"167","Solyc04g150112.1",1
"168","Solyc05g005490.4",1
"169","Solyc05g005500.1",1
"170","Solyc05g007020.4",1
"171","Solyc05g007060.4",1
"172","Solyc05g007070.2",1
"173","Solyc05g007460.3",1
"174","Solyc05g007980.3",1
"175","Solyc05g009230.3",1
"176","Solyc05g009660.4",1
"177","Solyc05g011930.4",1
"178","Solyc05g012820.2",1
"179","Solyc05g012850.3",1
"180","Solyc05g013300.1",1
"181","Solyc05g013310.1",1
"182","Solyc05g015815.1",1
